Full Name,UB MAIL,CURRENT DEGREE,SKILLS,WORK EXPERIENCE,PROJECTS,GENDER,GPA,JOINING
Janet Gomez,riverabrett@example.com,PHD,FULLSTACK,5,10,FEMALE,3.67,IMMEDIATELY
Keith Wagner,robert03@example.net,UNDER GRAD,BACKEND,7,0,OTHERS,3.79,IMMEDIATELY
Emily Rodriguez,leonardkelly@example.com,PHD,FULLSTACK,4,2,MALE,3.67,IMMEDIATELY
Carmen Acevedo,brandon76@example.com,MASTERS,CLOUD,4,10,OTHERS,3.45,INTERESTED TO JOIN
Chad Smith,nallen@example.com,MASTERS,APP DEV,7,1,OTHERS,3.06,INTERESTED TO JOIN
Rachel Velez,paullarson@example.net,PHD,FRONTEND,3,0,MALE,3.25,INTERESTED TO JOIN
Dr. Trevor Sullivan,noblejanet@example.net,PHD,AI/ML,7,2,OTHERS,3.78,IMMEDIATELY
Randy Lewis,kaitlyn25@example.net,UNDER GRAD,FRONTEND,7,0,OTHERS,3.71,INTERESTED TO JOIN
Christina Ortiz,johnbarnes@example.net,UNDER GRAD,FRONTEND,0,8,FEMALE,3.59,INTERESTED TO JOIN
Timothy Wade,bhenry@example.net,MASTERS,BACKEND,5,2,FEMALE,3.24,IMMEDIATELY
Stephen Perez,hjames@example.com,PHD,AI/ML,1,0,MALE,3.09,IMMEDIATELY
William Curry,john20@example.net,MASTERS,BACKEND,7,1,MALE,3.63,IMMEDIATELY
Sarah Smith,jeffrey45@example.org,PHD,FRONTEND,5,2,FEMALE,3.63,INTERESTED TO JOIN
Charlotte Rose,paul73@example.com,PHD,BACKEND,0,1,OTHERS,3.08,IMMEDIATELY
Christina Garcia,charles81@example.net,UNDER GRAD,FRONTEND,4,3,FEMALE,3.04,INTERESTED TO JOIN
Joshua Smith,gilmoreangela@example.net,UNDER GRAD,AI/ML,5,3,FEMALE,3.36,IMMEDIATELY
Edward Johnson,yflores@example.net,PHD,CYBER SECURITY,5,5,FEMALE,3.72,INTERESTED TO JOIN
Craig Torres,williamsmatthew@example.net,MASTERS,WEB DEV,5,9,FEMALE,3.96,INTERESTED TO JOIN
Carolyn Valencia,vramirez@example.net,UNDER GRAD,CYBER SECURITY,6,1,FEMALE,3.46,IMMEDIATELY
William Russell,nortonlee@example.org,UNDER GRAD,FULLSTACK,7,5,OTHERS,3.95,IMMEDIATELY
Kristine Armstrong,matthew58@example.com,PHD,APP DEV,0,2,FEMALE,3.5,INTERESTED TO JOIN
Jacqueline Wiley,msilva@example.org,MASTERS,FRONTEND,5,5,MALE,3.85,IMMEDIATELY
Jesse Taylor,spowell@example.org,PHD,FULLSTACK,2,3,FEMALE,3.93,IMMEDIATELY
Bryan King,leemichael@example.com,UNDER GRAD,APP DEV,4,10,FEMALE,3.29,INTERESTED TO JOIN
Sarah Garner,whitneyjerry@example.com,MASTERS,FULLSTACK,1,9,FEMALE,3.04,IMMEDIATELY
Michelle Nguyen,richardbailey@example.net,PHD,CLOUD,6,4,OTHERS,3.29,IMMEDIATELY
Scott Atkinson,herreramia@example.net,PHD,WEB DEV,2,9,OTHERS,3.93,IMMEDIATELY
David Flores,brandonfreeman@example.com,PHD,APP DEV,4,9,OTHERS,3.3,IMMEDIATELY
Kenneth Campos,donald49@example.net,UNDER GRAD,BACKEND,3,1,MALE,3.22,INTERESTED TO JOIN
Morgan Hardy,yhess@example.net,MASTERS,FULLSTACK,4,3,MALE,3.5,IMMEDIATELY
Sharon Johnson,ramirezalexandra@example.com,MASTERS,CLOUD,6,3,FEMALE,3.18,IMMEDIATELY
Christine Miller,adriennesmith@example.com,MASTERS,FRONTEND,5,10,MALE,3.76,IMMEDIATELY
Jonathan Harrison,thomasdominic@example.net,PHD,FULLSTACK,2,8,FEMALE,3.43,IMMEDIATELY
Jillian Anderson MD,kimberly82@example.org,UNDER GRAD,WEB DEV,5,10,MALE,3.44,IMMEDIATELY
Donna Oconnor,wchurch@example.net,PHD,WEB DEV,5,10,FEMALE,3.22,IMMEDIATELY
Mary Clark,tdavis@example.net,MASTERS,WEB DEV,0,0,OTHERS,3.7,INTERESTED TO JOIN
Megan Marks,james21@example.net,UNDER GRAD,CLOUD,6,9,FEMALE,3.53,IMMEDIATELY
Taylor Peck,mmccall@example.com,PHD,APP DEV,5,8,MALE,3.78,IMMEDIATELY
Eric Conway,montoyamichelle@example.net,UNDER GRAD,APP DEV,0,2,MALE,3.72,IMMEDIATELY
Tammy Figueroa,amy97@example.com,UNDER GRAD,AI/ML,5,4,MALE,3.91,IMMEDIATELY
Nicholas Powell,tpaul@example.net,MASTERS,APP DEV,7,7,MALE,3.02,INTERESTED TO JOIN
Marcus Cabrera,johnhubbard@example.org,MASTERS,WEB DEV,2,3,OTHERS,3.62,INTERESTED TO JOIN
James Gallagher,stephenlowery@example.com,UNDER GRAD,CYBER SECURITY,6,0,OTHERS,3.76,INTERESTED TO JOIN
Christopher Haley,laracourtney@example.com,UNDER GRAD,WEB DEV,6,4,OTHERS,3.95,INTERESTED TO JOIN
Jeremiah Nunez,paulfinley@example.org,UNDER GRAD,FRONTEND,5,7,MALE,3.31,IMMEDIATELY
Corey Villegas,alexischen@example.com,UNDER GRAD,BACKEND,6,2,MALE,3.12,INTERESTED TO JOIN
Barbara Martin MD,conwayerik@example.net,MASTERS,AI/ML,6,0,FEMALE,3.07,INTERESTED TO JOIN
Kathy Gonzalez,colin25@example.net,MASTERS,BACKEND,2,10,FEMALE,3.56,INTERESTED TO JOIN
Jean Thomas,pliu@example.org,PHD,CYBER SECURITY,3,9,MALE,3.44,INTERESTED TO JOIN
Mark Thomas,williamwhitney@example.com,MASTERS,FRONTEND,4,5,FEMALE,3.91,INTERESTED TO JOIN
Matthew Waters,hoffmanedward@example.com,UNDER GRAD,CLOUD,3,8,FEMALE,3.66,INTERESTED TO JOIN
Renee Palmer,heidialexander@example.net,MASTERS,CYBER SECURITY,0,10,FEMALE,3.31,INTERESTED TO JOIN
Patrick Fuentes,hjones@example.com,MASTERS,CLOUD,6,0,FEMALE,3.58,IMMEDIATELY
Taylor Roberts MD,nmatthews@example.net,UNDER GRAD,FULLSTACK,5,4,OTHERS,3.96,IMMEDIATELY
Heather Hahn,ncunningham@example.com,MASTERS,FRONTEND,6,7,FEMALE,3.47,IMMEDIATELY
Michael Hooper,tanneralex@example.org,UNDER GRAD,APP DEV,0,9,OTHERS,3.59,INTERESTED TO JOIN
Victor Horn,jackiegarrett@example.com,UNDER GRAD,WEB DEV,2,2,OTHERS,3.77,IMMEDIATELY
Cody Mitchell,jason17@example.com,PHD,AI/ML,4,10,OTHERS,3.8,INTERESTED TO JOIN
Kathleen Rodriguez,tranjeffrey@example.com,UNDER GRAD,FRONTEND,6,5,MALE,3.79,INTERESTED TO JOIN
John Wilson,vhernandez@example.com,UNDER GRAD,FULLSTACK,5,10,MALE,3.84,IMMEDIATELY
Lisa Mahoney,christopher14@example.net,UNDER GRAD,FRONTEND,5,5,FEMALE,3.73,IMMEDIATELY
Alexandra Rivers,carolharper@example.net,PHD,WEB DEV,3,7,OTHERS,3.95,INTERESTED TO JOIN
David Silva,thomassheryl@example.com,UNDER GRAD,WEB DEV,5,7,MALE,3.66,INTERESTED TO JOIN
Charles Adams,brownmadison@example.net,MASTERS,FULLSTACK,3,7,MALE,3.23,IMMEDIATELY
Andrew Mercer,alexanderlance@example.org,PHD,CLOUD,1,2,OTHERS,3.47,INTERESTED TO JOIN
Steven Evans,tracey71@example.com,PHD,AI/ML,2,3,MALE,3.01,INTERESTED TO JOIN
Shawna Fitzgerald,qwilliams@example.net,MASTERS,WEB DEV,1,0,OTHERS,3.18,INTERESTED TO JOIN
